\comment SLCF: SLIT LOSS CORRECTION FUNCTION, LL
\comment 2005-02-18, JD Smith
\comment From the SPITE simulations of G. Sloan (PSF circular+central
\comment obscuration, geometric slits).  To be updated by K. Sheth, using 
\comment STinyTim PSF + derived slit beam profiles
| wavelength        |   slcf         |
| real              |   real         |
| micron            |                |
       13.80000019      0.8849999905
       13.89999962      0.8830999732
       14.00000000      0.8810999990
       14.10000038      0.8791999817
       14.19999981      0.8773000240
       14.30000019      0.8755000234
       14.39999962      0.8736000061
       14.50000000      0.8718000054
       14.60000038      0.8700000048
       14.69999981      0.8682000041
       14.80000019      0.8665000200
       14.89999962      0.8647999763
       15.00000000      0.8630999923
       15.10000038      0.8614000082
       15.19999981      0.8597000241
       15.30000019      0.8580999970
       15.39999962      0.8565000296
       15.50000000      0.8549000025
       15.60000038      0.8533999920
       15.69999981      0.8518999815
       15.80000019      0.8503999710
       15.89999962      0.8489000201
       16.00000000      0.8475000262
       16.10000038      0.8461999893
       16.20000076      0.8449000120
       16.29999924      0.8435999751
       16.39999962      0.8422999978
       16.50000000      0.8410999775
       16.60000038      0.8399999738
       16.70000076      0.8388000131
       16.79999924      0.8378000259
       16.89999962      0.8367999792
       17.00000000      0.8357999921
       17.10000038      0.8348000050
       17.20000076      0.8339999914
       17.29999924      0.8331000209
       17.39999962      0.8323000073
       17.50000000      0.8314999938
       17.60000038      0.8307999969
       17.70000076      0.8300999999
       17.79999924      0.8295000196
       17.89999962      0.8288000226
       18.00000000      0.8281999826
       18.10000038      0.8277000189
       18.20000076      0.8270999789
       18.29999924      0.8266000152
       18.39999962      0.8260999918
       18.50000000      0.8256000280
       18.60000038      0.8252000213
       18.70000076      0.8246999979
       18.79999924      0.8242999911
       18.89999962      0.8238000274
       19.00000000      0.8234000206
       19.10000038      0.8230000138
       19.20000076      0.8224999905
       19.29999924      0.8220999837
       19.39999962      0.8216999769
       19.50000000      0.8213000298
       19.60000038      0.8209000230
       19.70000076      0.8205000162
       19.79999924      0.8199999928
       19.89999962      0.8195999861
       20.00000000      0.8191999793
       20.10000038      0.8187999725
       20.20000076      0.8183000088
       20.29999924      0.8179000020
       20.39999962      0.8174999952
       20.50000000      0.8170999885
       20.60000038      0.8166000247
       20.70000076      0.8162000179
       20.79999924      0.8158000112
       20.89999962      0.8152999878
       21.00000000      0.8148999810
       21.10000038      0.8144999743
       21.20000076      0.8141000271
       21.29999924      0.8136000037
       21.39999962      0.8131999969
       21.50000000      0.8127999902
